FCT_id,food_grp_id,food_item_id,Food_grp,Food_name,local_name,Crop_ref,Edible,Energy,WATER,Protein,Fat,Carbohydrate,Fiber,ASH,CA,FE,MG,P,K,NA,ZN,CU,VITA_RAE,RETOL,B_Cart_eq,VITD,VITE,THIA,RIBF,NIA,VITB6C,FOL,VITB12,VITC,food_group_unicef
7345,7,345,Meat and poultry and their products,Locust,Locust,0,0,97,76.7,14,3.3,0.9,4,1.1,28,3,22,150,217,32,3.5,0.87,0,0,0,0,0,0.2,1.5,3.9,0,0,0,0,Flesh foods 
10422,10,422,Milk and their products,Milk@ camel,Milk camel,0,1,58,88.5,3.1,3,4.7,0,0.8,116,0.2,13,86,151,61,0.56,0.15,0,0,0,0,0,0,0.06,0,0,0,0,1.9,Dairy products 
10405,10,405,Milk and their products,Milk@ cow@ whole@ 3.5 % fat,Milk cow,0,1,65,87.7,3.4,3.7,4.4,0,0.8,120,0.1,11,92,153,45,0.39,0.01,33,31,18,0.1,0.09,0.04,0.18,0.1,0.05,10,0.6,1.5,Dairy products 
10407,10,407,Milk and their products,Milk@ goat,Milk goat,0,1,76,85.8,3.4,4.5,5.5,0,0.8,142,0.1,14,119,215,48,0.3,0.02,33,33,0,0.1,0.03,0.06,0.17,0.3,0.04,1,0.1,1.5,Dairy products 
10408,10,408,Milk and their products,Milk@ human@ mature,Milk human breast milk,0,1,70,86.8,1.2,3.7,8.1,0,0.3,30,0.1,3,16,59,12,0.3,0.04,60,58,24,0,0.34,0.02,0.04,0.5,0.01,5,0.1,3.3,Dairy products 
7333,7,333,Meat and poultry and their products,Mole cricket@ blanched,Mole cricket,0,0,130,71.2,15.4,6.3,1.5,2.9,2.7,76,41.7,0,254,268,97,0,0,0,0,0,0,0,0.2,1.89,4.8,0,0,0,0,Flesh foods 
10432,10,432,Milk and their products,Palm oil@ refined,Palm oil,0,1,884,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.94,0,0,0,0,0,0,0,Dairy products 
7295,7,295,Meat and poultry and their products,Pork@ meat@ approx. 40 % fat@ boneless,Pork meat,0,1,392,46.6,12.3,38.8,0,0,1.2,11,1.8,16,165,300,60,3.6,0.1,0,0,0,1,0.1,0.6,0.17,3.6,0.38,3,0.7,0,Flesh foods 
7297,7,297,Meat and poultry and their products,Rabbit meat,Rabbit meat,0,0.76,128,72.7,21.6,4.8,0,0,1,16,1.2,27,212,351,60,1.7,0.15,10,10,0,0,0.8,0.11,0.15,9.5,0.57,5,10,0,Flesh foods 
7353,7,353,Meat and poultry and their products,Sausage@ wiener (beef@ pork@ chicken) canned,Sausage,0,1,225,64.9,10.5,19.4,2.6,0,2.6,10,0.9,7,49,101,969,1.6,0.03,0,0,0,0.6,0.22,0.09,0.11,1.6,0.12,4,1,0,Flesh foods 
10433,10,433,Milk and their products,Shea butter,Shea butter,0,1,884,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dairy products 
10434,10,434,Milk and their products,Soya oil,Soya oil,0,1,884,0,0,100,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0,0,0,Dairy products 
10435,10,435,Milk and their products,Vegetable oil,Vegetable oil,0,1,884,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.22,0,0,0,0,0,0,0,Dairy products 
10409,10,409,Milk and their products,Yoghurt@ whole milk@ plain,Yoghurt,0,1,73,85.3,3.8,3.4,6.8,0,0.8,152,0.1,15,127,209,64,0.58,0.02,30,29,16,0.1,0.09,0.04,0.2,0.1,0.04,12,0.3,0.7,Dairy products 
